Week,DFI_Arrival Date,Name,Type 1 Attendances,Total attendances,Attendances,Breaches,Within,4 Hour Performance
10/04/2011,10/04/2011,Cambridge University Hospitals NHS Foundation Trust,1927,1927,1927,126,1801,0.93461338868708
10/04/2011,10/04/2011,East And North Hertfordshire NHS Trust,2672,3154,3154,200,2954,0.93658845909956
10/04/2011,10/04/2011,Ipswich Hospital NHS Trust,1236,1236,1236,46,1190,0.96278317152104
10/04/2011,10/04/2011,Mid Essex Hospital Services NHS Trust,1407,1462,1462,70,1392,0.95212038303694
10/04/2011,10/04/2011,The Princess Alexandra Hospital NHS Trust,1653,1653,1653,197,1456,0.88082274652148
17/04/2011,17/04/2011,Cambridge University Hospitals NHS Foundation Trust,1704,1704,1704,93,1611,0.94542253521127
17/04/2011,17/04/2011,East And North Hertfordshire NHS Trust,2403,2814,2814,52,2762,0.98152096659559
17/04/2011,17/04/2011,Ipswich Hospital NHS Trust,1155,1155,1155,25,1130,0.97835497835498
17/04/2011,17/04/2011,Mid Essex Hospital Services NHS Trust,1280,1308,1308,28,1280,0.97859327217125
17/04/2011,17/04/2011,The Princess Alexandra Hospital NHS Trust,1625,1625,1625,125,1500,0.92307692307692
24/04/2011,24/04/2011,Cambridge University Hospitals NHS Foundation Trust,1957,1957,1957,121,1836,0.93817066939193
24/04/2011,24/04/2011,East And North Hertfordshire NHS Trust,2511,2943,2943,90,2853,0.96941896024465
24/04/2011,24/04/2011,Ipswich Hospital NHS Trust,1247,1247,1247,51,1196,0.95910184442662
24/04/2011,24/04/2011,Mid Essex Hospital Services NHS Trust,1320,1355,1355,32,1323,0.97638376383764
24/04/2011,24/04/2011,The Princess Alexandra Hospital NHS Trust,1590,1590,1590,89,1501,0.9440251572327
01/05/2011,01/05/2011,Cambridge University Hospitals NHS Foundation Trust,2020,2020,2020,86,1934,0.95742574257426
01/05/2011,01/05/2011,East And North Hertfordshire NHS Trust,2725,3154,3154,103,3051,0.96734305643627
01/05/2011,01/05/2011,Ipswich Hospital NHS Trust,1224,1224,1224,84,1140,0.93137254901961
01/05/2011,01/05/2011,Mid Essex Hospital Services NHS Trust,1433,1461,1461,74,1387,0.94934976043806
01/05/2011,01/05/2011,The Princess Alexandra Hospital NHS Trust,1380,1380,1380,111,1269,0.9195652173913
08/05/2011,08/05/2011,Cambridge University Hospitals NHS Foundation Trust,1945,1945,1945,115,1830,0.94087403598972
08/05/2011,08/05/2011,East And North Hertfordshire NHS Trust,2635,3057,3057,217,2840,0.92901537455021
08/05/2011,08/05/2011,Ipswich Hospital NHS Trust,1224,1224,1224,65,1159,0.9468954248366
08/05/2011,08/05/2011,Mid Essex Hospital Services NHS Trust,1400,1430,1430,204,1226,0.85734265734266
08/05/2011,08/05/2011,The Princess Alexandra Hospital NHS Trust,1656,1656,1656,66,1590,0.96014492753623
15/05/2011,15/05/2011,Cambridge University Hospitals NHS Foundation Trust,1906,1906,1906,61,1845,0.96799580272823
15/05/2011,15/05/2011,East And North Hertfordshire NHS Trust,2631,3029,3029,115,2914,0.96203367448003
15/05/2011,15/05/2011,Ipswich Hospital NHS Trust,1199,1199,1199,33,1166,0.97247706422018
15/05/2011,15/05/2011,Mid Essex Hospital Services NHS Trust,1367,1400,1400,73,1327,0.94785714285714
15/05/2011,15/05/2011,The Princess Alexandra Hospital NHS Trust,1677,1677,1677,154,1523,0.90816935002982
22/05/2011,22/05/2011,Cambridge University Hospitals NHS Foundation Trust,1928,1928,1928,60,1868,0.96887966804979
22/05/2011,22/05/2011,East And North Hertfordshire NHS Trust,2629,3108,3108,173,2935,0.94433719433719
22/05/2011,22/05/2011,Ipswich Hospital NHS Trust,1235,1235,1235,69,1166,0.94412955465587
22/05/2011,22/05/2011,Mid Essex Hospital Services NHS Trust,1378,1412,1412,91,1321,0.93555240793201
22/05/2011,22/05/2011,The Princess Alexandra Hospital NHS Trust,1612,1612,1612,35,1577,0.97828784119107
29/05/2011,29/05/2011,Cambridge University Hospitals NHS Foundation Trust,1818,1818,1818,60,1758,0.96699669966997
29/05/2011,29/05/2011,East And North Hertfordshire NHS Trust,2528,2961,2961,51,2910,0.98277608915907
29/05/2011,29/05/2011,Ipswich Hospital NHS Trust,1160,1160,1160,22,1138,0.98103448275862
29/05/2011,29/05/2011,Mid Essex Hospital Services NHS Trust,1410,1450,1450,18,1432,0.98758620689655
